  Ep 01 | step   7200 | loss 3.4198 | ppl    30.56 | lr 4.94e-05 | 16038s elapsed
  Ep 01 | step   7400 | loss 3.4170 | ppl    30.48 | lr 4.93e-05 | 16484s elapsed
  Ep 01 | step   7600 | loss 3.4147 | ppl    30.41 | lr 4.93e-05 | 16929s elapsed
  Ep 01 | step   7800 | loss 3.4121 | ppl    30.33 | lr 4.92e-05 | 17375s elapsed
  Ep 01 | step   8000 | loss 3.4097 | ppl    30.26 | lr 4.92e-05 | 17821s elapsed
  Ep 01 | step   8200 | loss 3.4073 | ppl    30.18 | lr 4.92e-05 | 18268s elapsed
  Ep 01 | step   8400 | loss 3.4050 | ppl    30.11 | lr 4.91e-05 | 18714s elapsed
  Ep 01 | step   8600 | loss 3.4028 | ppl    30.05 | lr 4.91e-05 | 19160s elapsed
  Ep 01 | step   8800 | loss 3.4007 | ppl    29.99 | lr 4.90e-05 | 19606s elapsed
  Ep 01 | step   9000 | loss 3.3984 | ppl    29.92 | lr 4.90e-05 | 20053s elapsed
  Ep 01 | step   9200 | loss 3.3961 | ppl    29.85 | lr 4.89e-05 | 20499s elapsed
  Ep 01 | step   9400 | loss 3.3940 | ppl    29.78 | lr 4.89e-05 | 20945s elapsed
  Ep 01 | step   9600 | loss 3.3919 | ppl    29.72 | lr 4.88e-05 | 21391s elapsed
  Ep 01 | step   9800 | loss 3.3899 | ppl    29.66 | lr 4.88e-05 | 21838s elapsed
  Ep 01 | step  10000 | loss 3.3878 | ppl    29.60 | lr 4.87e-05 | 22284s elapsed
  Ep 01 | step  10200 | loss 3.3859 | ppl    29.54 | lr 4.87e-05 | 22730s elapsed
  Ep 01 | step  10400 | loss 3.3843 | ppl    29.50 | lr 4.86e-05 | 23176s elapsed
  Ep 01 | step  10600 | loss 3.3825 | ppl    29.44 | lr 4.86e-05 | 23623s elapsed
  Ep 01 | step  10800 | loss 3.3806 | ppl    29.39 | lr 4.85e-05 | 24069s elapsed
  Ep 01 | step  11000 | loss 3.3787 | ppl    29.33 | lr 4.84e-05 | 24515s elapsed
  Ep 01 | step  11200 | loss 3.3769 | ppl    29.28 | lr 4.84e-05 | 24962s elapsed
  Ep 01 | step  11400 | loss 3.3752 | ppl    29.23 | lr 4.83e-05 | 25408s elapsed
  Ep 01 | step  11600 | loss 3.3732 | ppl    29.17 | lr 4.83e-05 | 25854s elapsed
  Ep 01 | step  11800 | loss 3.3716 | ppl    29.12 | lr 4.82e-05 | 26300s elapsed
  Ep 01 | step  12000 | loss 3.3699 | ppl    29.07 | lr 4.81e-05 | 26747s elapsed
  Ep 01 | step  12200 | loss 3.3682 | ppl    29.03 | lr 4.81e-05 | 27193s elapsed
  Ep 01 | step  12400 | loss 3.3668 | ppl    28.99 | lr 4.80e-05 | 27639s elapsed
  Ep 01 | step  12600 | loss 3.3652 | ppl    28.94 | lr 4.79e-05 | 28086s elapsed
  Ep 01 | step  12800 | loss 3.3637 | ppl    28.90 | lr 4.79e-05 | 28532s elapsed
  Ep 01 | step  13000 | loss 3.3621 | ppl    28.85 | lr 4.78e-05 | 28978s elapsed
  Ep 01 | step  13200 | loss 3.3608 | ppl    28.81 | lr 4.77e-05 | 29425s elapsed
  Ep 01 | step  13400 | loss 3.3593 | ppl    28.77 | lr 4.77e-05 | 29871s elapsed
  Ep 01 | step  13600 | loss 3.3578 | ppl    28.73 | lr 4.76e-05 | 30318s elapsed
  Ep 01 | step  13800 | loss 3.3564 | ppl    28.68 | lr 4.75e-05 | 30764s elapsed
  Ep 01 | step  14000 | loss 3.3550 | ppl    28.64 | lr 4.75e-05 | 31210s elapsed
  Ep 01 | step  14200 | loss 3.3536 | ppl    28.61 | lr 4.74e-05 | 31657s elapsed
  Ep 01 | step  14400 | loss 3.3522 | ppl    28.57 | lr 4.73e-05 | 32103s elapsed
  Ep 01 | step  14600 | loss 3.3509 | ppl    28.53 | lr 4.72e-05 | 32550s elapsed
  Ep 01 | step  14800 | loss 3.3496 | ppl    28.49 | lr 4.71e-05 | 32996s elapsed
  Ep 01 | step  15000 | loss 3.3482 | ppl    28.45 | lr 4.71e-05 | 33443s elapsed
